Statistical profiling result from isolate-0x4c8d860-11136-v8.log, (20904 ticks, 56 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     28    0.1%    0.4%  LazyCompile: *getAnteConstraintItemAndSymtab /mnt/common/github/TypeScript-cph/built/local/tsc.js:93274:55
     27    0.1%    0.4%  LazyCompile: *scanJsDocToken /mnt/common/github/TypeScript-cph/built/local/tsc.js:12101:32
     27    0.1%    0.4%  LazyCompile: *isectSet /mnt/common/github/TypeScript-cph/built/local/tsc.js:96931:26
     27    0.1%    0.4%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:97721:103
     27    0.1%    0.4%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:93309:66
     25    0.1%    0.4%  LazyCompile: *processLoop /mnt/common/github/TypeScript-cph/built/local/tsc.js:92891:25
     25    0.1%    0.4%  LazyCompile: *makeGroupsForFlow /mnt/common/github/TypeScript-cph/built/local/tsc.js:91516:31
     25    0.1%    0.4%  LazyCompile: *getTypeByMrNarrowAux /mnt/common/github/TypeScript-cph/built/local/tsc.js:93396:34
     25    0.1%    0.4%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:97712:34
     25    0.1%    0.4%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:95947:64
     24    0.1%    0.4%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:92641:38
     23    0.1%    0.4%  LazyCompile: *scan /mnt/common/github/TypeScript-cph/built/local/tsc.js:11376:22
     23    0.1%    0.4%  LazyCompile: *mrNarrowTypesInner /mnt/common/github/TypeScript-cph/built/local/tsc.js:96057:36
     23    0.1%    0.4%  LazyCompile: *addTypesToRefTypesType /mnt/common/github/TypeScript-cph/built/local/tsc.js:96851:40
     23    0.1%    0.4%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:91693:40
     22    0.1%    0.3%  LazyCompile: *getTsTypesOfType /mnt/common/github/TypeScript-cph/built/local/tsc.js:97226:34
     22    0.1%    0.3%  LazyCompile: *getNarrowedTypeOfSymbol /mnt/common/github/TypeScript-cph/built/local/tsc.js:72942:41
     22    0.1%    0.3%  LazyCompile: *compareValues /mnt/common/github/TypeScript-cph/built/local/tsc.js:1791:27
     22    0.1%    0.3%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:97783:45
     21    0.1%    0.3%  LazyCompile: *RefTypesSymtabProxy.set /mnt/common/github/TypeScript-cph/built/local/tsc.js:97547:54
     21    0.1%    0.3%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:96898:42
     20    0.1%    0.3%  LazyCompile: *isRelatedTo /mnt/common/github/TypeScript-cph/built/local/tsc.js:65495:33
     20    0.1%    0.3%  LazyCompile: *forEachRefTypesTypeType /mnt/common/github/TypeScript-cph/built/local/tsc.js:97208:41
     20    0.1%    0.3%  LazyCompile: *flowNodeResolve_1 /mnt/common/github/TypeScript-cph/built/local/tsc.js:91866:58
     19    0.1%    0.3%  LazyCompile: *checkGrammarNumericLiteral /mnt/common/github/TypeScript-cph/built/local/tsc.js:90980:44
     19    0.1%    0.3%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:97193:41
     18    0.1%    0.3%  LazyCompile: *isFunctionLikeDeclarationKind /mnt/common/github/TypeScript-cph/built/local/tsc.js:13509:43
     18    0.1%    0.3%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:92774:30
     18    0.1%    0.3%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:92691:33
     16    0.1%    0.2%  LazyCompile: *orIntoNodeToTypeMap /mnt/common/github/TypeScript-cph/built/local/tsc.js:93627:33
     16    0.1%    0.2%  LazyCompile: *isReachableFlowNodeWorker /mnt/common/github/TypeScript-cph/built/local/tsc.js:70729:43
     16    0.1%    0.2%  LazyCompile: *checkVariableLikeDeclaration_aux /mnt/common/github/TypeScript-cph/built/local/tsc.js:84085:50
     16    0.1%    0.2%  LazyCompile: *checkResolvedBlockScopedVariable /mnt/common/github/TypeScript-cph/built/local/tsc.js:50815:50
     15    0.1%    0.2%  LazyCompile: *heapSwap /mnt/common/github/TypeScript-cph/built/local/tsc.js:91358:26
